x,y,z,intensity,return_num,classification
282004.09,5660001.22,31.7,19201,1,2
282005.17,5660000.6,31.71,40041,1,2
282004.09,5660000.27,31.73,25034,1,2
282005.54,5660000.19,31.75,38185,1,2
282003.78,5660000.76,31.740000000000002,25973,1,2
282004.74,5660000.41,31.740000000000002,43799,1,2
282004.74,5660000.73,31.740000000000002,41265,1,2
282004.37,5660001.1,31.720000000000002,31697,1,2
282004.74,5660001.07,31.740000000000002,42838,1,2
282005.18,5660000.27,31.740000000000002,41461,1,2
282005.54,5660000.5600000005,31.75,31413,1,2
282005.17,5660000.91,31.720000000000002,39932,1,2
282005.17,5660001.23,31.75,41461,1,2
282005.54,5660000.87,31.740000000000002,37027,1,2
282005.53,5660001.21,31.720000000000002,35476,1,2
282000.16000000003,5660001.63,31.73,35891,1,2
282000.16000000003,5660001.94,31.71,36240,1,2
282000.56,5660001.46,31.71,35170,1,2
282000.56,5660001.79,31.7,34187,1,2
282000.16000000003,5660002.25,31.740000000000002,36481,1,2
282000.56,5660002.13,31.73,37398,1,2
282001.0,5660001.59,31.7,31718,1,2
282001.67,5660001.45,31.7,29796,1,2
282001.37,5660001.7,31.7,32330,1,2
282001.67,5660001.76,31.68,28223,1,2
282001.0,5660001.92,31.71,28507,1,2
282001.0,5660002.22,31.7,27065,1,2
282001.37,5660001.98,31.73,31150,1,2
282001.67,5660002.11,31.71,29971,1,2
282000.16000000003,5660002.6,31.720000000000002,35716,1,2
282000.16000000003,5660002.88,31.73,35519,1,20
282000.56,5660002.47,31.720000000000002,31784,1,2
282000.56,5660002.78,31.740000000000002,30626,1,2
282000.16000000003,5660003.2,31.720000000000002,33510,1,2
282000.56,5660003.1,31.720000000000002,33226,1,2
282000.56,5660003.44,31.720000000000002,32221,1,2
282001.0,5660002.52,31.71,30692,1,2
282001.0,5660002.9,31.720000000000002,30124,1,2
282001.37,5660002.67,31.73,30386,1,2
282001.67,5660002.44,31.720000000000002,27109,1,2
282001.67,5660002.74,31.67,24706,1,2
282001.0,5660003.18,31.7,32046,1,2
282001.37,5660002.96,31.740000000000002,30320,1,2
282001.67,5660003.1,31.720000000000002,18393,1,20
282001.37,5660003.3,31.650000000000002,29032,1,2
282001.37,5660002.32,31.75,31893,1,2
282000.16000000003,5660003.54,31.71,32898,1,2
282000.16000000003,5660003.82,31.720000000000002,31063,1,2
282000.56,5660003.72,31.71,31959,1,2
282000.16000000003,5660004.15,31.720000000000002,31981,1,2
